seqid	P28660_2001	P28660_2002	P28660_2003	P28660_2004	P28660_2005	P28660_2006	P28660_2007	P28660_2008	P28660_2009	P28660_2010	P28660_2011	P28660_2012	P28660_2013	P28660_2014	P28660_2015	P28660_2016	P28660_2017	P28660_2018	P28660_2019	P28660_2020	P28660_2021	P28660_2022	P28660_2023	P28660_2024	P28660_2028	P28660_2029	P28660_2030	P28660_2031	P28660_2032	P28660_2033	P28660_2034	P28660_2035	P28660_2036	P28660_2037	P28660_2038	P28660_2039	P28660_2040	P28660_2041	P28660_2042	P28660_2043	P28660_2044	P28660_2045	P28660_2046	P28660_2047	P28660_2048	P28660_2049	P28660_2050	P28660_2051	P28660_2052	P28660_2053	P28660_2054	P28660_2055	P28660_2056	P28660_2057	P28660_2058	P28660_2059	P28660_2060	P28660_2061	P28660_2062	P28660_2063	P28660_2064	P28660_2065	P28660_2066	P28660_2067	P28660_2068	P28660_2069	P28660_2070	P28660_2071	P28660_2075	P28660_2076	P28660_2077	P28660_2078	P28660_2079	P28660_2080	P28660_2081	P28660_2082	P28660_2083	P28660_2084	P28660_2085	P28660_2086	P28660_2087	P28660_2088	P28660_2089	P28660_2090	P28660_2091	P28660_2092	P28660_2093	P28660_2094
1903e82865a536ecdda73d084f26f4bd	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	17	0	0	1811	1136	182	16	33	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33ed8088d69892489856e4c834dc424b	0	20	61	0	71	0	0	0	0	5	0	27	0	0	114	0	72	0	0	58	551	13	0	0	4781	2890	36064	0	0	0	345	184	0	0	3	0	0	28	0	699	0	724	134	0	0	0	0	0	0	13	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1d59ef4ba2766ca28704c72b849de8bc	1487	8089	16294	2282	3480	4514	0	0	0	1224	1658	516	254	2061	46	1212	923	2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3ea1f63149e7998c29ab7c0fddd9d03d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	3425	6659	4233	5066	3613	1340	1010	1593	2787	8047	0	5762	1302	0	0	0	12	20	0	25	8	0	0	18	18	55	0	49	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0fbe91a016ab5dca2c58eaed8f04d38e	0	0	43	0	191	0	1046	0	39	0	0	0	1974	819	195	0	30	0	2266	1227	37123	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7aceec4098265b2bcbe78ce33eedb20e	0	0	0	0	0	0	1467	6	0	0	0	0	0	0	11	0	0	0	0	0	0	0	3	0	0	0	0	34108	8729	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2604bfed72d743c977527c355799eed3	7	9	68	4	16	0	0	0	0	0	70	0	0	0	0	43	30	10	0	0	16	0	0	0	37808	2077	23	207	497	0	229	1038	4	0	0	0	0	0	0	0	0	2001	81	0	0	0	0	0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a76eedde24047f17be6708e617fefad8	1115	2661	841	65	2401	94	24452	7	36	109	379	241	6738	3266	241	113	1345	81	0	0	33	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d4228b70590d745925b564e48ddd94cc	12405	663	607	178	403	448	3709	563	44	375	13569	310	0	137	35	881	1085	4476	0	0	0	0	0	0	41	57	0	933	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9bc889ecea2ce9131ecaf4365b3aa0bc	2626	2188	1183	446	1000	795	3083	11097	6443	2606	1733	1283	498	1799	1405	413	1376	512	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8719caa957e3493d90398273b647a28c	14028	2931	3628	729	2146	789	0	224	65	843	8979	872	11	746	349	316	1111	1328	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ea5cc96cd26e5d67358d5aa09ee16bb2	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32842	5396	30	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101637aba474a6614786486ad42acb11	87	0	0	0	0	43	0	0	0	0	36	0	1707	0	0	0	0	203	0	264	143	1145	53	2200	25	49	4	0	0	894	6380	2642	5800	5122	783	1443	647	306	3232	587	0	2436	352	0	0	0	9	0	0	14	0	0	0	6	29	0	0	27	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12931893a03afd6d6e225a6b490fdf3e	15967	905	2459	3704	1682	6159	0	0	63	184	2521	723	5	27	0	31	600	1628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
052ba7abaeaa968c4f79e3f97d1f0a2f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	6913	7901	1400	1938	1006	886	277	821	1307	5466	0	7812	234	0	0	0	0	16	0	24	0	0	0	5	11	46	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ca1faf4c34a6354f3ac147dfd3cb2a1	2673	556	1360	1291	2754	11433	0	0	8	3658	9101	1019	93	33	0	729	254	1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21471b24e1c66efb56fb46d473f93d8d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931	29390	2226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ea9e6c23d00e0bb2aed42202a5950cb2	0	151	12	26	859	0	26	0	89	45	0	141	1756	242	5063	88	168	20	9424	12303	5063	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a50baf9c4d6ab584bc3660ca54494a5d	8	4	0	0	0	63	3	0	0	4	4	0	69	0	0	0	0	65	195	129	9235	0	808	0	0	52	0	0	0	255	926	217	0	380	437	0	0	66	20534	0	0	0	145	0	0	0	67	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
