ASV_ID	P28659_1001	P28659_1002	P28659_1003	P28659_1004	P28659_1005	P28659_1006	P28659_1007	P28659_1008	P28659_1009	P28659_1010	P28659_1011	P28659_1012	P28659_1013	P28659_1014	P28659_1015	P28659_1016	P28659_1017	P28659_1018	P28659_1019	P28659_1020	P28659_1021	P28659_1022	P28659_1023	P28659_1024	P28659_1025	P28659_1026	P28659_1027	P28659_1028	P28659_1029	P28659_1030	P28659_1031	P28659_1032	P28659_1033	P28659_1034	P28659_1035	P28659_1036	P28659_1037	P28659_1038	P28659_1039	P28659_1040	P28659_1041	P28659_1042	P28659_1043	P28659_1044	P28659_1045	P28659_1046	P28659_1047	P28659_1048	P28659_1049	P28659_1050	P28659_1051	P28659_1052	P28659_1053	P28659_1054	P28659_1055	P28659_1056	P28659_1057	P28659_1058	P28659_1059	P28659_1060
0282092eeef14cdf1505be8c315857e9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	115	125	0	79	76	33833	0	134	157	20779	18771	146	23558	180	110	0	14983	75	0	0	40	0	0	0	7641	51	0	0	51	6190	0	0	338	0	0
8b4c3a3a505b1f2175124e590ad545e9	0	0	0	0	51	26	0	20	0	0	0	0	51	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	25	0	0	7	129	145	179	48
18b725f88dbea7d049859dfc58456f7a	64	0	0	0	0	157	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	257	187	268	128	285	2005	10039	56259	0	0	0	1927	1104	157	90	398	26373	106	84	0
a660cd3951d1a85236a81ef8c070b9df	13	11	0	0	0	0	0	0	64	104	0	0	0	0	0	0	6	6	0	0	0	0	0	0	11	11	0	0	0	0	0	0	11	17	0	0	0	0	0	0	0	10	0	0	0	0	0	0	16	11	0	0	0	0	0	0	22	20	0	0
b519eb8761acb6775d792d8744e08e81	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	27	0	51	0	0	0	0	0	21	39	62	21	0	84	0	0	3132	3878	48180	190	50	1007	130	505	758	1419	37	16	0	0	1758	483	319	1678	161	1590	119	11533	362	80	23725	460	45	0	0
84c3e64cfa879b3e6d2dca24603210b3	92	620	17670	5293	97	1600	7398	9151	28	2947	3121	41	5280	4607	64	73	31	58	5944	15	4237	3192	1494	35	1253	11490	12752	23	51	51	44	44	0	0	33	4	0	0	0	12	0	0	16	0	0	0	0	6	0	0	22	0	0	0	0	0	0	14	29	0
05d6e3f01cde294509bb0c1f14e3db57	81	79	114	56	88	27078	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11917	0	2781	1985	5955	189	236	0	0	0	77	0	0	179	10362	10134	0	141	522	3344	0	0	831	0	693	0	0	0
fb5b25df8db061040514b2d58b1c006f	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7013	528	861	1877	3578	820	810	3520	2819	0	0	0	0	3111	4644	522	7039	1307	6328	2849	558	9281	758	101	3871	0	0	0
e877b41723bd21e382e793461979a12f	575	25	1533	73	120	331	244	127	268	527	246	0	10115	1790	101	24	47	47	4310	0	1131	15979	105	34	50	16027	1990	0	51	66	39	34	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	43	5470	0
de08c996916d100fb54660f1dedd54c1	1788	217	2537	3710	5399	1664	5900	6744	4942	8103	5982	0	1474	1234	3729	80	0	0	2504	0	496	69	578	0	0	2282	1046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0
