seqid	P29902_1001	P29902_1002	P29902_1003	P29902_1004	P29902_1005	P29902_1006	P29902_1007	P29902_1008	P29902_1009	P29902_1010	P29902_1011	P29902_1012	P29902_1013	P29902_1014	P29902_1015	P29902_1016	P29902_1017	P29902_1018	P29902_1019	P29902_1020	P29902_1021	P29902_1022	P29902_1023	P29902_1024	P29902_1028	P29902_1029	P29902_1030	P29902_1031	P29902_1032	P29902_1033	P29902_1034	P29902_1035	P29902_1036	P29902_1037	P29902_1038	P29902_1039	P29902_1040	P29902_1041	P29902_1042	P29902_1043	P29902_1044	P29902_1045	P29902_1046	P29902_1047	P29902_1048	P29902_1049	P29902_1050	P29902_1051	P29902_1052	P29902_1053	P29902_1054	P29902_1055	P29902_1056	P29902_1057	P29902_1058	P29902_1059	P29902_1060	P29902_1061	P29902_1062	P29902_1063	P29902_1064	P29902_1066	P29902_1067	P29902_1068	P29902_1070	P29902_1075	P29902_1076	P29902_1077	P29902_1078	P29902_1079	P29902_1080	P29902_1087	P29902_1088	P29902_1089	P29902_1090	P29902_1092	P29902_1093
005ecf6f13dfbd2b76943cf6b5440ce4	0	203	69	31	0	0	52	89	913	45	238	110	40	31	431	0	881	123	13155	0	5828	0	13	0	290	160	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7f01106cc44c39db9ac4456d52c18896	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	20788	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8719caa957e3493d90398273b647a28c	1235	1944	3640	814	786	858	81	343	6	495	3892	622	97	718	285	201	2495	2280	0	0	0	0	0	0	23	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ca1faf4c34a6354f3ac147dfd3cb2a1	1912	849	1568	1017	991	3356	0	0	6	1000	4725	1912	35	182	0	37	433	2777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c65e13082d20fdfb45b6e46d9d914d5c	0	32	19	152	0	11	194	79	0	43	52	81	73	698	879	18	258	54	3523	892	7979	0	5	3	0	0	0	536	4248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b49b29f3e77c55a438d499c47ff48608	142	150	593	669	107	179	124	397	170	320	442	764	3589	6167	2528	110	619	400	883	449	869	0	0	0	0	0	0	53	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1366b46d2c2f1312fe2ac1bac24a53b3	0	0	0	0	0	0	0	13	839	25	0	21	20	44	38	0	13	0	7822	246	10312	13	0	0	158	64	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1dfd0f30e19faf071b11df66e44ef4d3	0	0	1262	0	0	0	137	0	0	36	0	326	258	610	609	0	0	0	11143	58	4154	0	0	0	0	0	0	107	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c5d5a1b8c6f22002c4d2437e48ca7ad0	0	189	89	498	0	0	494	18	0	189	468	481	2390	9895	2939	118	1253	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70e82c1f85c489bdcf95d525ba87f656	631	397	2984	111	380	218	52	216	25	1275	2086	767	851	917	1187	361	3589	2932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7ee32ffce6601656356752a04aab58dc	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	11186	3508	2852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67fe68b10effbc7af1e15eb1d66f58af	2583	1141	953	111	971	967	69	204	0	497	2020	135	324	824	140	1311	1273	4570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f907f334ea2cdcbc9b7d35769e5294be	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664	696	16690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d4c440bc86c9e47b16c475f947b52969	0	0	0	0	112	0	0	0	0	0	0	0	608	1347	263	0	0	0	11354	1173	2848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74fb435047c6fa3aaa621bf3f585fe74	0	27	0	51	0	0	271	504	805	35	18	161	76	590	56	0	101	0	6341	1124	1054	0	0	0	1889	4242	38	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1109f2dce62933dbd5cded18063e828d	109	9	158	503	7	31	58	0	0	45	99	63	1899	4674	1579	42	374	169	434	349	187	0	0	0	69	0	0	4563	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5270df843af2feda3241487adb2c5a65	969	805	720	22	1318	373	0	0	9	168	1417	70	0	6	0	901	1237	8061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c567d132050a2bee3b143ff64f119fef	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	12673	2334	164	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aee6f37f7e3b9e371c67169407603285	299	550	625	485	719	2560	0	0	0	5479	4476	235	0	15	5	0	0	88	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5fd5b6c4f5ee77c2b5c8cc76ffadfd34	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cd954bea47a2c433e78f5c68bcdf8bfb	1045	646	1090	76	0	168	45	0	0	198	1130	167	5114	3116	340	77	1077	1211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109ca4a0a155aa294da7f98172ebdb86	646	335	810	1290	552	1889	0	0	0	2099	1885	2649	0	0	181	180	58	1790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9fa1342d59ed83975b9958e625d52875	0	63	254	624	0	0	3769	24	63	0	79	104	377	524	436	197	244	234	5097	594	1427	0	0	0	0	0	0	86	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ddc496ec44102ca534a93df93b427af7	0	0	0	0	0	0	0	0	0	9230	4491	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01b917c1e8e6b2253cc89438dd2738ca	0	0	0	0	0	0	512	13205	42	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ea5cc96cd26e5d67358d5aa09ee16bb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13189	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f099dce920e678775b64af8b754fb7e7	1769	1498	1013	116	1735	3030	0	0	9	170	569	33	1436	19	0	266	1216	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c042b5ba7ca78abac496f66192283ff9	0	0	0	16	0	0	73	8	0	8	0	16	65	466	275	0	40	0	510	90	196	0	5	0	26	46	0	4283	7429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7a89a9deb2a99ea8af9db3738a6e2bf7	0	0	0	6	3	0	13	0	0	7	6	10	0	0	7	0	0	0	1323	1537	281	0	0	4	41	77	1505	0	8712	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
