pathway	description	P37057_1001	P37057_1002	P37057_1003	P37057_1004	P37057_1067	P37057_1068	P37057_1013	P37057_1014	P37057_1015	P37057_1016	P37057_1021	P37057_1022	P37057_1023	P37057_1025	P37057_1026	P37057_1037	P37057_1039	P37057_1050	P37057_1052	P37057_1055	P37057_1057	P37057_1061	P37057_1062	P37057_1065	P37057_1066	P37057_1084	P37057_1018	P37057_1019	P37057_1030	P37057_1031	P37057_1032	P37057_1033	P37057_1034	P37057_1035	P37057_1036	P37057_1038	P37057_1047	P37057_1048	P37057_1049	P37057_1051	P37057_1054	P37057_1056	P37057_1059	P37057_1060	P37057_1063	P37057_1064	P37057_1083
P23-PWY	reductive TCA cycle I	9992.540444976616	2714.5355617379573	11797.859288961032	53.43030669479147	11215.078346758435	11919.637265271867	21721.27597856103	15244.199213011774	24246.693753196207	17576.779064694456	77984.69745986332	13032.60065701932	69939.36193735145	60486.73761304799	69511.3526638587	22513.92542398901	28282.147287521748	17191.534034987573	27276.735712125057	24462.75380462253	23894.250029306942	59934.63655907005	45362.78443613641	55368.84053311977	38290.12185961614	66658.01971610764	930.9639856423686	3830.0941320028032	30284.62799130014	38237.52336720216	34064.673876383764	32000.770785721685	39795.9711239198	38512.23892525538	15073.287337696367	15631.231138122625	17666.675937136195	67.05893557108053	9895.39064212676	21275.716450611308	19652.752260809557	20545.59474770288	33779.12638856289	35598.88572618131	30984.46272344958	40287.391950147525	49043.077564507126
P241-PWY	coenzyme B biosynthesis	89.06787405090844	0.0	162.22127711600933	0.0	187.49997143248504	113.451732623341	0.0	46.669249156084746	81.4823393528321	14.72042474757428	136.08502546735983	15.123086389919848	268.3671706853539	233.11056590646064	150.33664057892028	62.7139498630289	22.711695209567434	19.18895935428077	52.58669969512194	23.345276789903508	241.1500608410011	729.4820795768311	419.00935012503777	192.84796081622903	293.10330004813375	1011.1360709863156	0.0	0.0	89.55576200917116	197.85020399321616	162.75353265498546	118.5688943059411	120.88190825207002	211.18857586304557	29.58805635606788	49.4705459729233	18.986617830810467	0.0	45.03351735015773	81.53795233294527	83.60068612265432	148.53217512927455	54.15319756100327	43.308223050629564	19.99244792405588	27.692470590231583	65.23761958145123
P261-PWY	coenzyme M biosynthesis I	54.38284723260047	5.744241461477363	92.46095103236507	0.0	76.43060017410117	49.77441023297729	5.5273268262281245	26.44791505459548	64.62055438897397	33.78373350328562	912.6401080047737	196.4737572987813	316.6084823872419	291.3701677734797	401.4051864793771	106.16299380524433	123.14852490122009	0.0	69.72802314047728	50.83386215452842	150.29871000637445	679.3773160855519	486.3310026646846	229.8533458521647	269.9213751686158	795.3953121800629	0.0	0.0	71.62277599355572	73.72825788217186	107.02489941189344	84.27291162588871	88.88028195634526	77.8604170298481	54.17174498273575	89.9491770402282	37.03544938687445	0.0	3.961191121201048	239.3809911375645	76.3214716586474	152.50541542276676	118.18743854378322	89.08269830376062	77.01948854459728	106.26900227956943	225.6948281556214
P281-PWY	3-phenylpropanoate degradation	54.95967662559427	0.0	73.00514378697845	0.0	10.918759231905469	11.552065619102349	20.66083152859992	83.02616297372082	132.9284762327854	0.0	5176.815405361849	619.8862522658867	6191.295195164674	3819.041458972236	4170.880044404483	48.93701888565877	76.98897545652282	0.0	23.313226128957893	23.92561656059388	7.949745064308371	2762.4398686647446	1228.7257984057806	2521.8153501080005	1659.2223294705066	1980.5328000548477	82.10837016747367	1574.849646346763	410.239094162004	914.4081262191684	525.323301127123	403.47408438356354	1535.4086560581918	725.2580482387463	9.920502750945984	0.0	155.2669113103073	0.0	0.0	45.29721984772153	13.090740346874457	0.0	941.3919908330312	1201.4307890053497	2224.074124385421	3264.913241513993	4595.100298503092
P341-PWY	glycolysis V (Pyrococcus)	0.0	0.0	0.0	0.0	7.499258728214765	7.498988125248574	0.0	0.0	0.0	0.0	13.348662221116928	0.0	68.31210586453285	69.10362771066897	150.65052877759967	0.0	0.0	0.0	0.0	0.0	7.499383190468022	0.0	9.999030778805045	39.98664381112664	12.498334771509713	0.0	27.43374688848064	193.71317341835052	32.48435694419571	82.42686816392312	62.44009765747892	154.67563574083266	4447.433418877011	164.662715624406	0.0	4.999560110061977	0.0	0.0	0.0	0.0	0.0	0.0	37.48373040286794	24.99324020595868	0.0	47.47530569214341	49.97743781609318
P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)	200.81100420038183	0.0	220.40232731716617	0.0	0.0	174.83785529181606	93.41688889569338	183.60518942778305	116.04851754063974	91.67604960388306	10711.16744219952	1446.152652129095	13283.4206073008	7109.290200707075	8046.674316547615	51.20021084130539	126.38846729382036	0.0	42.96764432172995	41.59755592081066	128.23246255986734	1975.2543883446472	2644.727982763574	3498.5840222519537	3138.524265949485	2057.7528738229225	378.1675489957524	1570.1218819419175	6708.545562157817	11895.109071356486	6049.358615928682	10099.08760734109	7662.609859399068	9085.16870695642	1348.64700303914	198.27261842671803	840.686301669767	0.0	44.17223842277566	109.0839220819088	150.5537000936594	0.0	2452.110094276117	3009.6096988487293	1579.6771995001257	2177.6757327108853	3029.416974393033
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	4167.984475515581	968.3272994971636	5633.149461889672	67.2880021656692	5607.095949658916	7014.890422773492	5200.148629552066	6365.520081280989	6326.463410600281	5273.154615008681	65169.45471857182	9344.012434617563	54745.21404376795	47321.14095021305	56636.56021248951	8015.505183402768	6113.172814925501	3574.000654486499	5822.037640987801	5835.874920725672	9057.449354439925	31552.969276596425	25261.8722534697	36612.81819829806	25503.12880991752	38449.43018875888	5964.564179455614	18111.499402084613	25347.826221652867	37908.42446051598	22395.50176309129	28616.157758957896	35717.28588124337	29808.129669340367	7123.832219034785	8171.116937323636	9293.768027111291	0.0	3440.9305383869523	6357.42911638294	4810.540604354805	6250.473003825759	23629.26299312603	27854.29983411301	19502.12191448856	23804.061704481497	30793.121019073016
P42-PWY	incomplete reductive TCA cycle	53215.41923913262	17156.378778680755	54413.31200703805	139.71953622118517	64422.25678064883	46813.55729052695	28477.225261817584	34944.4456407097	41189.28321311286	24009.87536861456	82774.0143572801	15535.45748241117	69919.78810287591	53892.110334728495	61239.27366303711	49847.33361508462	43115.36300600504	24694.466711728124	50255.35832912043	46703.18677316308	76585.79711398522	98522.60040686531	77757.78902608268	75406.67103850622	65224.33846789673	129701.95315445692	1840.447014931156	5699.458159656689	49746.5999628685	67519.15878058125	45694.707507648985	47874.14259507167	54035.86283838779	47139.12430952401	40979.62849270536	48966.95448657166	40359.0193694977	162.4011083375554	26166.139714866396	53806.63035680288	49839.10302153183	50002.30782437626	63335.87902975389	65642.22827824941	51029.633586953154	63813.204779245534	78335.52017840692
P441-PWY	superpathway of N-acetylneuraminate degradation	619.548526329897	47.07242068216232	522.8385912943072	0.0	395.6302861269163	282.5262803717909	248.35332458688003	174.30940722314136	799.3825681502199	384.1639113457989	7906.052378316063	1261.6097415036545	16179.783930152704	9161.660322151212	16268.64497552736	606.1392847085067	280.6461496565012	185.614307920434	488.4149032044113	220.40151257739305	1304.4643287687138	3748.601997618093	4799.368191166518	5519.848351773179	3992.709722491708	6346.207453532345	176.83519155017518	1517.5618641045342	3545.982450446684	5441.333314907961	3754.1427651217487	5448.818703373543	9356.320375178257	5552.069738065245	426.3148770468628	980.1509277153456	342.86350442458377	0.0	365.94611326117473	683.4948103993535	350.33881534628705	562.366858973868	2406.436909588116	5700.634592456083	3604.0875844973066	4399.004760602731	5058.701975245355
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	329.55810429294394	14.79345042669106	313.4435287792798	0.0	251.4864725164464	142.57063698451407	70.11164048296116	69.31983318025766	155.66196488190718	84.64996010642736	5451.023282198215	492.3005502058825	5788.956048679926	11617.493248238045	14936.966602086834	218.08385336523867	179.96525405207845	55.93236522433783	207.12658625464567	121.8379299636181	313.68163704790794	2014.9532034301687	2590.119972819989	1731.361729669754	1860.7520580173475	1261.627984813554	117.19582581420616	627.520115417653	2164.9132933306405	3972.580808833149	3668.801841267217	7810.224386682792	8003.264899043578	12331.96197702667	266.9452689385051	425.9086120648003	51.15771905908719	0.0	43.96040294098157	264.6693431665479	299.25393651257554	421.5751619951319	1799.0929366837029	2117.0706971467125	1535.703223938341	1944.5931712045085	2416.918774689852
