Pathway category	Pathway	function	Gene ID	Gene_list_description
H	"Carbon fixation, CBB cycle (Rubisco)"	K01602	"rbcS, cbbS"	Ribulose-bisphosphate carboxylase small chain
H	"Carbon fixation, CBB cycle (Rubisco)"	K00855	prk	Phosphoribulokinase
H	"Carbon fixation, reverse TCA cycle"	K15230	aclA	ATP-citrate lyase alpha-subunit
H	"Carbon fixation, reverse TCA cycle"	K15231	aclB	ATP-citrate lyase beta-subunit
H	"Carbon fixation, reverse TCA cycle"	K15232	ccsA	Citryl-CoA synthetase large subunit
H	"Carbon fixation, reverse TCA cycle"	K15233	ccsB	Citryl-CoA synthetase small subunit
H	"Carbon fixation, reverse TCA cycle"	K15234	ccl	Citryl-CoA lyase
H	"Carbon fixation, reverse TCA cycle"	K00174	"korA, oorA, oforA"	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha
H	"Carbon fixation, reverse TCA cycle"	PAB0344	korB	2-oxoacid oxidoreductase (ferredoxin)
H	"Carbon fixation, reverse TCA cycle"	K00244	frdA	Fumarate reductase flavoprotein subunit (EC 1.3.5.4)
H	"Carbon fixation, reverse TCA cycle"	K00245	frdB	Fumarate reductase iron-sulfur subunit (EC 1.3.5.1)
H	"Carbon fixation, Wood?Ljungdahl"	K00198	"cooS, acsA"	Anaerobic carbon-monoxide dehydrogenase catalytic subunit
H	"Carbon fixation, Wood?Ljungdahl"	K14138	acsB	Acetyl-CoA synthase
H	"Carbon fixation, Wood?Ljungdahl"	K00197	"cdhE, acsC"	"Acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma"
H	"Carbon fixation, Wood?Ljungdahl"	K01500	fchA	Methenyltetrahydrofolate cyclohydrolase
H	"Carbon fixation, Wood?Ljungdahl"	K00194	"cdhD , acsD"	"Acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta"
I	Nitrogen fixation	K02586	nifD	Nitrogenase molybdenum-iron protein alpha chain
I	Nitrogen fixation	K02591	nifK	Nitrogenase molybdenum-iron protein beta chain
I	Nitrogen fixation	K02588	nifH	Nitrogenase iron protein NifH
