seqid	P25812_1001	P25812_1002	P25812_1003	P25812_1004	P25812_1005	P25812_1006	P25812_1007	P25812_1008	P25812_1009	P25812_1010	P25812_1011	P25812_1012	P25812_1013	P25812_1014	P25812_1015	P25812_1016	P25812_1017	P25812_1018	P25812_1019	P25812_1020	P25812_1021	P25812_1022	P25812_1023	P25812_1024	P25812_1025	P25812_1026	P25812_1027	P25812_1028	P25812_1029	P25812_1030	P25812_1031	P25812_1032	P25812_1033	P25812_1034	P25812_1036	P25812_1037	P25812_1038	P25812_1039	P25812_1040	P25812_1041	P25812_1042	P25812_1043	P25812_1044	P25812_1045	P25812_1046	P25812_1047	P25812_1048	P25812_1049	P25812_1050	P25812_1051	P25812_1052	P25812_1053
c8c27991fc4b9dbaf393e756a8480704	0	0	22	0	9	0	11	5	28	467	0	10	4	103	0	20	20	27	9	3	15	0	9	44	48	29	20	247	0	0	10	9	6	0	37	0	18	0	0	32	0	0	8	16	42	112	251	23	8	25	4	8
bb7d80ab66c85b8ba07406daf9fcce6e	0	0	159	1248	71	0	0	0	0	0	26	1272	0	228	7742	99	262	3682	4633	1098	0	0	0	0	0	2179	426	0	1309	6560	0	0	1287	101	0	0	53	44	58	931	664	0	0	0	1189	26	0	0	199	0	0	0
fc2e35986046ebaba8ebbc4f2f033c59	0	0	0	0	2600	0	37	0	0	22	0	2189	0	28	115	634	0	786	0	30	0	0	92	0	0	573	0	0	0	25	120	0	144	0	0	0	0	200	0	0	0	13	14	24658	206	0	20	119	999	97	0	200
33fb0d59e3634ea4c640dd894d11746c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	30	49	5859	4971	43	50	246	15553	12	6	38	1605	4361
445c8c0f06c3b40163e235a2c2dd799c	24978	118	27	262	2516	764	134	20	128	4	27	21	17	291	19	9	190	0	14	122	0	0	6	0	285	0	0	0	810	22	396	0	12	258	12	46	114	0	123	49	40	0	0	0	0	0	0	0	0	0	0	0
2b45d119ee58ede856f2e5acf6c0465b	0	0	0	0	0	0	0	0	37	31	150	0	28931	27	17	29	42	0	0	0	19	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	2532	0	0	0	0	0	0	0	40
995f926a59d4a3c958570fc1e02e4f54	0	0	0	0	0	0	0	0	0	724	0	0	0	0	0	0	0	0	0	0	0	0	0	49	2233	0	0	905	0	0	0	0	0	0	31	80	0	0	0	0	0	0	0	0	0	21	0	13	15	26724	16	8
c4e3d19d6d180d9dbf222634944034f6	0	0	0	0	0	0	0	0	48	29	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ebf5c53edf127c38e750ce770f6a9a0e	0	0	0	0	0	0	0	0	43	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
757044794f8758b8497abe72e612a75d	225	1434	72	29	2100	1804	1453	0	0	1648	0	0	15	2612	0	0	0	0	30	0	327	0	221	33	1139	0	0	178	276	0	71	0	0	718	75	1517	1992	127	1009	0	440	0	0	0	0	65	0	0	0	840	0	0
a840076dca14974c16c8dc9cc8f25e68	81	961	1136	148	0	0	0	0	0	0	231	75	75	235	1258	225	155	0	341	101	0	3003	0	0	114	0	68	0	3476	2591	451	0	248	1313	0	485	3137	970	101	1469	249	0	0	217	0	0	0	756	3747	0	0	0
666c4d3237b8febb2ce6181442e9872d	30	497	1018	120	0	0	0	0	0	0	0	57	0	1722	65	294	0	11	104	88	1110	435	250	0	201	0	409	175	1569	887	772	0	19	3269	0	3019	674	774	1015	1497	1284	0	0	0	557	124	0	27	320	0	0	3148
92b1d7edb72f8edbd3fa1bb7b8a51787	137	80	1486	1549	2247	8	8	0	0	0	214	299	17	0	914	270	0	226	279	44	129	0	73	0	11	0	680	0	885	2344	1177	0	22	1030	0	1735	1295	1325	1477	3424	1514	6	0	0	998	81	8	23	435	11	0	0
88ffdadd75a240609c95475567fc16e2	0	176	0	0	898	13	28	0	0	0	0	0	12	323	0	2854	0	65	3204	0	597	0	209	0	0	0	0	0	120	190	4086	0	0	2149	11	174	0	8494	0	1612	0	0	0	0	0	0	0	20	149	38	0	0
b87d1244b7c004b5e46a11638f104a00	82	889	1129	118	0	0	0	0	0	0	209	0	0	278	1157	191	140	0	289	98	0	2834	0	0	0	0	67	0	3459	2617	418	0	253	1210	0	424	2959	871	0	1362	223	0	0	197	0	0	0	770	3498	0	0	0
c7d22b14456108792a1e2e7a7e412f32	65	1102	230	51	149	207	41	1495	633	34	178	80	831	1514	549	94	239	728	74	281	0	661	54	0	22	344	273	46	1582	1494	259	1967	2453	702	9	113	1476	334	0	1469	130	50	78	3050	52	0	0	11	0	0	42	0
2e8ff9b4925246e72bbd5e1ae6e488d8	0	0	0	0	0	22	3437	11	0	0	0	0	0	0	0	0	0	0	37	0	3628	0	12423	31	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5031	0	0	0	0	0
aa605484b6d390babf1e378c7b76369b	73	74	5747	186	12	18	0	0	0	8	39	0	0	3728	0	143	0	0	0	0	0	405	0	0	24	9	1422	0	3193	0	40	0	0	2585	0	988	22	55	561	222	520	12	0	0	3211	856	83	10	19	0	0	0
42631d792356d1bdb43cb9d8359d875a	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	23	43	0	0	0
f29e1d93052bb5fef47412683b28bfb4	0	1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5050	18	85	6	0	0	0	0	31	144	2131	0	10	8669	0	1813	802	12	143	0	293	115	76	0	0	0	1420	0	1704	0	0	8
2ac71a21634d068d1ee3b67faa3773dc	12	3	0	7	0	546	3150	0	0	194	8	0	0	23	33	0	0	0	0	0	1010	0	0	0	817	0	0	662	0	0	0	0	6	26	0	0	0	0	0	0	13	1915	2373	0	0	0	0	0	0	20	0	0
51c16eb15fb8dec9bf804f43d3c5a880	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	17	28	23	0	17102	22	3044	0	0	0	0	133	112	8	0	0	0	987	6	125	5	0	723	96	76	0	0	0	0	165	0	0	0	11	0	8
77e1a1c944329a267523431e9730e1a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	1403	2242	0	1240	754	0	790	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	19	43	0	22	10197	4397	38	0	431	102	0	0	99
9de35473d3b0fa0341e5b1f1be4bf049	0	0	0	0	0	0	0	0	0	0	0	0	1217	0	57	0	17557	18	14	353	23	13	11	11	0	2612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14bb6ce45646032f2be88888fc9d5cc6	69	0	0	0	0	1646	2259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2777	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	183	0	0
91443cea8403825418005df177a6bc6b	0	657	32	0	49	5570	144	0	0	0	0	0	0	411	0	52	0	0	10	0	0	834	4213	0	0	0	0	0	850	13	1060	0	0	684	57	186	1127	1290	96	0	96	0	0	0	173	895	556	3	279	280	0	545
