seqid	P30102_1067	P30102_1068	P30102_1069	P30102_1070	P30102_1071	P30102_1072
dab1fece325d8988e71c74157601d177	0	0	0	0	0	0
876ac6aaf7434d416cb6983a35dc5cbe	0	0	0	0	0	0
d03c1944a4697d33cb050dacc6a95df3	0	0	0	0	0	0
a33da6fcf481f66f2b5786a167b5c98e	0	0	0	0	0	0
67e6904b4e55ddb40195458e40277dcc	0	0	0	0	0	0
c42b205c32e31b8984e045b0838cd528	0	0	0	0	0	0
c4a6fc0696e821f728e03eb39385e3be	0	0	0	0	0	0
43a54829cc0d7a58a61ad7f833cc2b22	0	0	0	0	0	0
bb54c4478a29f33e8bc1d3e0b5e25a0d	0	0	0	0	0	0
211bfc8b5ff8b1aca85c45845c81d44d	0	0	0	0	0	0
2a498e8d900ecd3d749446ee37fda578	0	0	0	0	0	0
3e23256e19cab2581fbbfa4b4fa392de	0	0	0	0	0	0
8998b40d1d49574074f8398d97c6dfae	0	0	0	0	0	0
e62596b958e2af4e7b6976a0df672b37	0	0	0	0	0	0
fb5b25df8db061040514b2d58b1c006f	0	0	0	0	0	0
40aa939ef901e427f093947f073c2efc	0	0	0	0	0	0
efefb9dc863a004ad172da14b83bfefd	0	0	0	0	0	0
5526fa54835f65847bc6f19523d2b4c1	0	0	0	0	0	0
159f434d223e17e6d4a84d7a526cb194	0	0	0	0	0	0
3d0b950c45a54997acab17db7a53a116	0	0	0	0	0	0
351af36ff2635daa831a2e65b3897f70	0	0	0	0	0	0
737aa56ba113a3fd4b6b8b227ef8bc0e	0	0	0	0	0	0
60fd3ebe3ed2f3fe7a8bfa07adf6b841	0	0	0	0	0	0
2f2f376d44dc8209c66f3f2494469234	0	0	0	0	0	0
d3417edf505b56059d82fbf62f46c18d	0	0	0	0	0	0
5aaa7bbab85c590d9055fe2155877e14	0	0	0	0	0	0
9bd0f27bf94000069d740b88ca589e52	0	0	0	0	0	0
581683b8c9d76824c01d720796b572e9	0	0	0	0	0	0
2ae23489e1cb8327ccc3b2f16d11789e	0	0	0	0	0	0
76728798164f79182b1f80b94b6f30b6	0	0	0	0	0	0
4c00ba5874d815658b3806951cb67e3b	0	0	0	0	0	0
ee01aedaabc8dfecae7301982e34b5fb	0	0	0	0	0	0
9c223aa60f91145f8df12eca45966988	0	0	0	0	0	0
f1d0118dc9d3ff554235c5be80ed734f	0	0	0	0	0	0
e877b41723bd21e382e793461979a12f	0	0	0	0	0	0
a4a1f6de84f623cbabc6187360aceec9	0	0	0	0	0	0
45226a91a8ca724e92b42b8620f1e113	0	0	0	0	0	0
ba2bb0e5c25b9fd55670f97c7a7942c4	0	0	0	0	0	0
58046ab41562fc1db9dd82b2893313dd	0	0	0	0	0	0
e88966b2701c271b62d7e305c4c87347	0	0	0	0	0	0
bc1c110176c4a94d069a487173ad33f4	0	0	0	0	0	0
357dfd2f0c7a40938d128c4e057992b8	0	0	0	0	0	0
3f3417048bb51bba824c7e151d3cb802	0	0	0	0	0	0
722aa7098d4cca6a1cc244b99407b5b8	0	0	0	0	0	0
eb57d1fa450ba4551b0c05c0de2ba845	0	0	0	0	0	0
cbdc2d1ac59ec5be78be694723b31ee4	0	0	0	0	0	0
834294e642c239fa3b27bde652af714d	0	0	0	0	0	0
c5ed4581d8a7ffcd64218434e981a97b	0	0	0	0	0	0
ea76b0dbacbba58fc72f5ac96742ce12	0	0	0	0	0	0
ac97a6dcca535bb6e45258bd3da7cf95	0	0	0	0	0	0
5bd21dbd691fc07016fc0a03f1e8b80d	0	0	0	0	0	0
8663241f2f3999cc9c336a2a22e26ded	0	0	0	0	0	0
3e054b7078002f1afab1c1e22ee932e4	0	0	0	0	0	0
edbb63dded90e56c8ad1444a42f0b50c	0	0	0	0	0	0
6232225c8ea3046deb053f3c4f1c707a	0	0	0	0	0	0
36bd306e1db95ce52a66214005ff310a	0	0	0	0	0	0
b66781a4934415fa2efae029a637031b	0	0	0	0	0	0
c73c33a9d4f257b7eb42e11e67e7d793	0	0	0	0	0	0
d51184e145a64cac4ac39fc4ffa43205	0	0	0	0	0	0
0c8902da072737ca3cfca6e56043de12	0	0	0	0	0	0
db56928479ceed5f23459497fd041761	0	0	0	0	0	0
6bae6eb536a3233ec5765b00d86c8be4	0	0	0	0	0	0
a16a037ae1563a0ee22427bb97141611	0	0	0	0	0	0
a946d29ad284a2fcea617e8ca54e63b5	0	0	0	0	0	0
2900fcd1321fb934e979d3ae84dbe8c3	0	0	0	0	0	0
0abf04119fc707d66c646c5e671647ed	0	0	0	0	0	0
f57c4f7543db3e4b53d0d3530e7917b2	0	0	0	0	0	0
1f0d2503a1038b6b15376f713efae287	0	0	0	0	0	0
7e253824d01ff8bd50aeb0092f1882b9	0	0	0	0	0	0
932b0e6155cbee41099364f06fab001e	0	0	0	0	0	0
d217d1f42fc8dcf25836c578125f411b	0	0	0	0	0	0
451895b067a5ce5f04f6efc316602bdb	0	0	0	0	0	0
a4e35c013aa4f03abe2751218361ac3b	0	0	0	0	0	0
5aa612ab148fb2499ae3e86704bcc334	0	0	0	0	0	0
253a7230f2465f29a4f710bbbf490c22	0	0	0	0	0	0
ac4107604c179f2f8414333885255725	0	0	0	0	0	0
5f8f65f6c0efb20d9c7f810276f32754	0	0	0	0	0	0
c6a4a34cab2486cc7b54bc59d7cbfc05	0	0	0	0	0	0
