sample,Year,CODE,region,pH_start,pH_inc,Name,Ag,Al,As,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Hf,Ho,K,La,Li,Lu,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Pb,Pr,Rb,S,Sc,Se,Sm,Sn,Sr,Tb,Th,Ti,Tl,Tm,U,V,Y,Yb,Zn,Zr
P25812_1020,2020,LNU 20036:1,A2,6.29,2.32,LNU20036:1,0.21,65800,7.3,215,2.2,0.35,10400,0.05,79.8,12.2,63,5.97,26.8,4.8,2.9,1,38900,17.1,5.8,4,1,19900,38.5,32.4,0.4,9900,578,2.5,13900,12.4,35.3,31.3,830,22.1,9.7,120,11500,14,0.5,6.9,4,150,0.8,14.7,3990,0.87,0.4,3.9,76,26.2,2.7,79.1,150
P25812_1021,2020,LNU 20037:1,A3,7.08,3.28,LNU20037:1,0.12,82500,5.9,610,3,0.61,10700,0.1,131,17.8,74,9.52,30.1,7.1,4.3,1.39,47000,24.1,8.2,3.6,1.5,24000,59.3,53.2,0.6,16600,634,0.54,12600,1.7,54.5,38.1,750,31.5,14.3,149,3800,19,0.4,10.1,5,147,1.2,22.7,3760,1.09,0.6,6.3,76,40.7,4,128,122
P25812_1022,2020,LNU 20038:1,A3,7.8,2.51,LNU20038:1,0.28,71200,6.8,487,2.6,0.49,11400,0.1,109,16.4,66,8.26,32,5.7,3.5,1.21,46000,21.1,6.7,4.1,1.1,18700,49.5,50.3,0.5,14200,892,1.49,11600,18.9,46,43.6,910,28,12,90.1,14600,16,0.6,8.3,4,138,1,18.1,4530,0.98,0.5,4.3,97,32.5,3.1,110,154
P25812_1023,2020,LNU 20045:1,A3,6.25,3.3,LNU20045:1,0.25,79700,7.9,670,2.8,0.49,9700,0.2,113,15,76,9,30.1,6.1,3.5,1.32,42300,20.9,7.3,4.9,1.2,34400,49.9,48.2,0.5,13400,518,2.82,12700,18.2,48.2,41,770,28.8,12.5,196,3000,17,0.7,8.8,4,139,1,18.4,4820,1.05,0.5,4.5,97,31.5,3.3,114,175
P25812_1024,2020,LNU 20047:1,A4,3.93,3.49,LNU20047:1,0.09,65100,2.4,745,2.2,0.2,13400,0.05,98.3,5.7,25,1.77,9,5.2,3.2,1.12,18200,16.4,5.7,0.4,1,25500,42,10.9,0.5,4800,420,0.38,22000,2.5,39.3,11.4,590,16.5,10.5,93.6,500,9,0.2,7.2,0.5,273,0.8,9.2,2990,0.65,0.5,3.9,47,30,3.4,38.2,63
P25812_1025,2020,LNU 20047:2,A4,4.6,3.55,LNU20047:2,0.09,65100,2.4,745,2.2,0.2,13400,0.05,98.3,5.7,25,1.77,9,5.2,3.2,1.12,18200,16.4,5.7,0.4,1,25500,42,10.9,0.5,4800,420,0.38,22000,2.5,39.3,11.4,590,16.5,10.5,93.6,500,9,0.2,7.2,0.5,273,0.8,9.2,2990,0.65,0.5,3.9,47,30,3.4,38.2,63
P25812_1026,2020,LNU 20048:1,A4,6.96,1.9,LNU20048:1,0.11,19700,23.4,66,1,0.12,6900,0.3,116,2.5,32,0.98,45.6,6.3,3.9,1.46,35200,3.8,7.9,1.3,1.3,7100,55.2,7.7,0.6,4600,205,12.2,7700,3.7,61.9,21.2,680,6.8,16.1,23.8,49400,5,1.6,10.5,1,89.1,1.1,8.2,907,0.19,0.6,8,34,35.3,3.9,50.4,48
P25812_1027,2020,LNU 20051:1,A4,7.33,2.44,LNU20051:1,0.17,36200,15.1,83,1.5,0.19,9000,0.3,78.5,4.7,41,2.99,44.7,5.1,3.1,1.19,28500,8.9,5.9,2.2,1,13800,38.5,19.7,0.5,7300,252,13.3,7700,8.3,43,26.9,920,10.7,11.1,62.6,28900,8,2,7.7,2,116,0.8,10.2,1990,0.39,0.4,8.3,46,26.7,3.1,62.8,79
P25812_1028,2020,LNU 20053:1,A4,7.27,3.53,LNU20053:1,0.22,48500,15.9,412,1.7,0.23,6400,0.3,131,5.3,61,4.52,61,7.1,4,1.77,29200,13.1,10.1,2.3,1.4,17300,60.2,20,0.5,6600,252,13.9,7500,9.8,72.3,30.1,950,18.5,18,89.4,10000,11,1.6,12.9,3,120,1.3,13.6,2570,0.65,0.5,11.1,63,36.3,3.6,60.3,91
P25812_1029,2020,LNU 20056:1,A3,7.8,2.68,LNU20056:1,0.24,73800,5.7,544,2.7,0.39,8800,0.1,85.4,10.5,61,6.24,18.8,5,2.9,0.99,42100,20.4,5.6,4.5,1,20700,39.5,34.9,0.4,12300,552,2.71,14400,18.1,38.2,25.1,730,21.8,10,150,8400,15,0.4,7.2,4,129,0.8,17.4,3630,0.95,0.5,5.1,77,27.1,2.9,94.7,155
P25812_1030,2020,LNU 20058:1,A3,7.52,2.39,LNU20058:1,0.29,78900,6.1,422,2.7,0.48,9700,0.1,115,16.2,61,7.86,35,5.9,3.6,1.14,51200,22.8,7.1,4.2,1.2,23600,52.5,43.9,0.5,15300,613,4.55,13800,19.4,48.3,36.1,730,27.7,12.8,163,12900,17,0.7,8.5,5,137,1,22.1,4170,1.04,0.5,6.1,99,33.3,3.5,131,145
P25812_1031,2020,LNU 20061:2,A4,7.54,2.66,LNU20061:2,0.22,81500,7.8,591,2.9,0.35,10400,0.2,102,16.7,73,6.21,31.3,5.2,3,1.12,42900,22.4,6.2,3.8,1,22900,45.5,41.4,0.4,15000,674,0.99,13600,15.8,41.2,38,600,23.4,11.1,131,6900,14,0.2,7.9,4,140,0.9,17.3,3510,0.91,0.4,10.6,93,28.6,2.9,102,139
